Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs,Year,Licensee ABN,Licensee ACN,Licensee Type
LIQH400104685,Liquor - hotel licence,1960-05-23 00:00:00,Current,2015-07-02 00:00:00,Trading,Petersham Inn Hotel,386-396 Parramatta Rd,PETERSHAM,2049.0,-33.888108,151.161109,Inner West,,Metropolitan,Jessica Organ,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Petersham - Stanmore,No,1.0,9,0,9,0,9,9,2022,,,
LIQH400121318,Liquor - hotel licence,1960-05-20 00:00:00,Current,1960-05-20 00:00:00,Trading,New England Hotel,Fitzroy St,WALCHA,2354.0,-30.98524,151.596487,Walcha,,Country,Peter Berry,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Walcha,No,2.0,4,0,4,0,4,4,2022,,,
LIQH400117388,Liquor - hotel licence,1960-05-17 00:00:00,Current,1960-05-17 00:00:00,Trading,Freeway Hotel,113-115 Reserve Rd,ARTARMON,2064.0,-33.814234,151.186109,Willoughby,,Metropolitan,Tony Hasbani,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,St Leonards - Naremburn,No,1.0,15,15,30,0,30,30,2022,,,
LIQH400118910,Liquor - hotel licence,1960-05-17 00:00:00,Current,1960-05-17 00:00:00,Trading,Kingswood Hotel,180 Great Western Hwy,KINGSWOOD,2747.0,-33.759045,150.720223,Penrith,,Metropolitan,Jessie Fry,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Kingswood - Werrington,No,2.0,26,4,30,0,30,30,2022,,,
LIQH400100779,Liquor - hotel licence,1960-05-16 00:00:00,Current,1960-05-16 00:00:00,Trading,The Australian Hotel & Brewery,350 Annangrove Rd,ROUSE HILL,2155.0,-33.674452,150.912725,The Hills Shire,,Metropolitan,James SMITH,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Rouse Hill - Beaumont Hills,No,1.0,30,0,30,0,30,28,2022,,,
LIQH400103018,Liquor - hotel licence,1960-05-16 00:00:00,Current,1960-05-16 00:00:00,Trading,Homebush Hotel,Parramatta Rd & Underwood St,HOMEBUSH WEST,2140.0,-33.860112,151.072148,Strathfield,,Metropolitan,RENLARN PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Homebush,No,2.0,15,11,26,0,26,0,2022,,,
LIQH400114958,Liquor - hotel licence,1960-05-13 00:00:00,Current,1960-05-13 00:00:00,Trading,Vegas Hotel,55-57 North Pde,MOUNT DRUITT,2770.0,-33.768682,150.821424,Blacktown,,Metropolitan,Gregory James,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Mount Druitt - Whalan,Yes,3.0,30,0,30,0,30,30,2022,,,
LIQH400101627,Liquor - hotel licence,1960-05-02 00:00:00,Current,1960-05-02 00:00:00,Trading,Nine Bar,"Ground Floor & Level 1, 72 Liverpool",Sydney,2000.0,-33.870846,151.20733,Sydney,Sydney CBD Precinct,Metropolitan,RADIKNOX INVESTMENTS PTY. LTD.,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,15,0,15,0,15,15,2022,,,
LIQH400101767,Liquor - hotel licence,1960-05-02 00:00:00,Current,1960-05-02 00:00:00,Trading,Sydney Harbour Marriott,30 Pitt St,SYDNEY,2000.0,-33.862897,151.209509,Sydney,Sydney CBD Precinct,Metropolitan,Bernhard Langer,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400101996,Liquor - hotel licence,1960-05-02 00:00:00,Current,1960-05-02 00:00:00,Trading,East Sydney Hotel,Cathedral & Crown Sts,WOOLLOOMOOLOO,2011.0,-33.872607,151.216853,Sydney,Sydney CBD Precinct,Metropolitan,THE EAST SYDNEY HOTEL PTY. LIMITED,Full hotel,"Extended trading authorisation,Reduced trading hours,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,No,Potts Point - Woolloomooloo,No,1.0,0,0,0,0,0,0,2022,,,
