Location_Name,Date,TotalCount,Hour,Day,DayNo
Market Street,2025-04-26 22:00:00+00:00,96,22,Saturday,6
Elizabeth Street,2025-04-26 22:00:00+00:00,3,22,Saturday,6
Bridge Street,2025-04-26 22:00:00+00:00,109,22,Saturday,6
Park Street,2025-04-26 22:00:00+00:00,665,22,Saturday,6
Elizabeth Street,2025-04-26 01:00:00+00:00,6,1,Saturday,6
Bridge Street,2025-04-26 01:00:00+00:00,24,1,Saturday,6
Market Street,2025-04-26 01:00:00+00:00,33,1,Saturday,6
Park Street,2025-04-26 01:00:00+00:00,512,1,Saturday,6
Park Street,2025-04-26 00:00:00+00:00,522,0,Saturday,6
Market Street,2025-04-26 00:00:00+00:00,73,0,Saturday,6
Elizabeth Street,2025-04-26 00:00:00+00:00,3,0,Saturday,6
Bridge Street,2025-04-26 00:00:00+00:00,66,0,Saturday,6
Park Street,2025-04-25 23:00:00+00:00,525,23,Friday,5
Market Street,2025-04-25 23:00:00+00:00,143,23,Friday,5
Bridge Street,2025-04-25 23:00:00+00:00,132,23,Friday,5
Elizabeth Street,2025-04-25 23:00:00+00:00,11,23,Friday,5
Park Street,2025-04-25 22:00:00+00:00,1137,22,Friday,5
Market Street,2025-04-25 22:00:00+00:00,238,22,Friday,5
Elizabeth Street,2025-04-25 22:00:00+00:00,19,22,Friday,5
Bridge Street,2025-04-25 22:00:00+00:00,133,22,Friday,5
Bridge Street,2025-04-20 01:00:00+00:00,113,1,Sunday,0
Park Street,2025-04-20 01:00:00+00:00,811,1,Sunday,0
Market Street,2025-04-20 01:00:00+00:00,74,1,Sunday,0
Elizabeth Street,2025-04-20 01:00:00+00:00,8,1,Sunday,0
Elizabeth Street,2025-04-20 00:00:00+00:00,14,0,Sunday,0
Park Street,2025-04-20 00:00:00+00:00,741,0,Sunday,0
Market Street,2025-04-20 00:00:00+00:00,111,0,Sunday,0
Bridge Street,2025-04-20 00:00:00+00:00,142,0,Sunday,0
Park Street,2025-04-19 23:00:00+00:00,1109,23,Saturday,6
Market Street,2025-04-19 23:00:00+00:00,228,23,Saturday,6
Elizabeth Street,2025-04-19 23:00:00+00:00,27,23,Saturday,6
Bridge Street,2025-04-19 23:00:00+00:00,204,23,Saturday,6
Bridge Street,2025-04-19 22:00:00+00:00,249,22,Saturday,6
Park Street,2025-04-19 22:00:00+00:00,1899,22,Saturday,6
